product_pid,transaction_date,apply_amt_pred,redeem_amt_pred,net_in_amt_pred
product1,20221110,2.1353698103570475,0.03080015934997249,2.1045166009409337
product1,20221111,2.0376826954456453,0.04021244594886486,1.9973479159422287
product1,20221114,3.1836578733096705,0.047593456926904754,3.1360253068615647
product1,20221115,2.04019244863951,0.028521261378791074,2.011560323374313
product1,20221116,2.1228643114733954,0.04580311625171518,2.076991991785798
product1,20221117,2.0067809495199884,0.024371397121205174,1.9812258130294322
product1,20221118,2.236792054773561,0.03774469943739689,2.197864934212019
product1,20221121,2.402629418555159,0.043213112680251964,2.358468307641255
product1,20221122,1.6152211664617968,0.03119499879180765,1.5832506696617443
product1,20221123,2.2435604692091955,0.051376267438109746,2.1907851765893276
product100,20221110,0.17652973164991081,0.2484964679774171,-0.07202007191697501
product100,20221111,0.09947511654796504,0.2320197389510592,-0.13266704085130487
product100,20221114,0.20610920921488862,0.6865067803104243,-0.4804363594446659
product100,20221115,0.15296621456697945,0.2798212133325646,-0.12696577322545521
product100,20221116,0.21746970367674479,0.21480174408327946,0.0025980370797891172
product100,20221117,0.16150871062763716,0.1636125811987985,-0.003288542340546652
product100,20221118,0.12163009332363028,0.44740625568152925,-0.32695827673026634
product100,20221121,0.18138705202255423,0.6668929049841639,-0.48645417721162887
product100,20221122,0.1530810690125879,0.11635542388178788,0.035949982739371666
product100,20221123,0.19746077435052012,0.13204624157640232,0.06401537858994422
product101,20221110,2.7494360882148126,4.2152267138499475,-1.4658440685742493
product101,20221111,2.3522799042932343,3.3977609385289957,-1.0456033336566304
product101,20221114,5.670209630042955,14.167878497833094,-8.49771037019122
product101,20221115,1.7910477203141402,4.476809916219084,-2.68587298683988
product101,20221116,4.6371610475615475,3.1795528456479367,1.4575388962917888
product101,20221117,2.4637654172756625,2.4546875627714435,0.007892709509722096
product101,20221118,3.5721607712087895,6.235533107269303,-2.664554820115155
product101,20221121,5.709022015243569,13.34543133128787,-7.637358880904384
product101,20221122,2.303091390163567,2.204913337483344,0.09740248359437942
product101,20221123,3.750936698067924,2.3443214617867745,1.4052161285242737
product102,20221110,0.07203499970100591,0.9825283271350744,-0.9105466589709319
product102,20221111,0.08758912366373917,0.9922255348483628,-0.9047583632637644
product102,20221114,0.12980967031414803,1.57777958543808,-1.44800922981363
product102,20221115,0.07821196618671156,0.3024310459503048,-0.2243303538175312
product102,20221116,0.052185240805110666,0.336296345757888,-0.2841797974146647
product102,20221117,0.059716467072418844,0.22555396052461907,-0.16702178208255192
product102,20221118,0.1234166306248321,2.178681926739068,-2.056447146244013
product102,20221121,0.14553424037196105,1.1552242420491252,-1.0106376552945322
product102,20221122,0.03728956321891097,0.11321969041385715,-0.07670577985256721
